Date,Customer ID,Order ID,Order Amount,Marketing Campaign,Product Launch,City,Payment Method,Customer Segment,Sales Representative,Discount Applied
2021-10-27 21:27:11,330992,37870307,1689.05,Referral,No,San Antonio,Cash,Loyal Customer,Ashley Perez,No
2022-01-06 13:17:07,76058,79704598,2151.168,Holiday Campaign,No,Dallas,PayPal,Regular Customer,Mark Walker,No
2023-03-09 07:35:21,5429,2955652,561.4,Email Promo,No,Seattle,Cash,Regular Customer,Ashley Perez,No
2022-04-08 05:31:18,97,343620,133.62,Summer Sale,No,Oklahoma City,PayPal,High-Value Customer,Nancy Moore,No
2020-02-02 19:42:37,76899036,4,851.8679999999999,Referral,Yes,Indianapolis,PayPal,New Customer,James Brown,No
2022-04-12 09:33:00,715,662331,586.62,Holiday Campaign,No,Fort Worth,Cash,New Customer,Carol Hall,No
2021-04-25 00:40:37,82,17523,1477.19,Referral,No,Indianapolis,Credit Card,High-Value Customer,John Smith,No
2021-06-07 20:00:05,6761341,52,1539.55,Referral,Yes,San Jose,Cash,New Customer,Thomas Turner,No
2022-10-07 15:34:01,43756435,189152145,522.52,Holiday Campaign,No,Memphis,Credit Card,New Customer,David Hall,No
2022-01-30 20:36:03,3847,78507,48.948,Email Promo,No,Los Angeles,Credit Card,High-Value Customer,Daniel Scott,Yes
2020-03-16 06:10:10,812,124959,194.63,Referral,Yes,Milwaukee,PayPal,High-Value Customer,Michael Wilson,No
2022-11-13 05:28:58,526845,15086,95.6448,Holiday Campaign,No,Nashville,PayPal,Regular Customer,Charles Anderson,Yes
2023-08-12 18:26:45,38638,3,485.71,Referral,No,Columbus,PayPal,Regular Customer,Sandra Adams,No
2022-06-14 10:15:16,9,761335,884.37,Email Promo,Yes,Detroit,PayPal,High-Value Customer,Jessica Jackson,No
2022-08-16 07:42:07,859315591,8290,666.31,Summer Sale,Yes,Boston,Cash,New Customer,Richard White,No
2021-06-27 00:24:43,93,194207,120.72,Holiday Campaign,Yes,Detroit,PayPal,High-Value Customer,Kenneth Nelson,No
2022-07-27 12:04:38,216416699,359,317.44,Summer Sale,No,Fort Worth,Cash,Loyal Customer,Kenneth Nelson,No
2022-09-19 02:51:30,603256757,50679,926.12,Summer Sale,Yes,Boston,Credit Card,New Customer,Margaret Young,No
2022-10-30 06:09:40,263251489,5,834.651,Summer Sale,Yes,Denver,Credit Card,Regular Customer,Dorothy King,No
2023-01-01 05:19:19,65038,29673122,902.6039999999999,Holiday Campaign,Yes,Dallas,PayPal,New Customer,Nancy Moore,No
2023-01-25 08:01:06,11237545,853,471.0,Summer Sale,No,Oklahoma City,Cash,Loyal Customer,Steven Wright,No
2022-04-16 09:46:23,7855363,52875675,842.517,Referral,No,Austin,Credit Card,Regular Customer,Elizabeth Davis,No
