Date,Customer ID,Order ID,Order Quantity,Marketing Campaign,Product Category,State,Region,Product Brand,Order Channel,Payment Method,Payment Status,Sales Representative
2022-11-20 12:16:41,8466,232951,5,Summer Sale,Electronics,OH,South,Brand C,In-Store,Cash,Not Paid,Tiffany Boyle
2020-07-02 06:36:48,703,723584588,4,Summer Sale,Books,NY,East,Brand B,Online Store,Credit Card,Paid,Stacy Hendrix DDS
2020-06-15 07:23:32,72726873,407684,1,Summer Sale,Clothing,FL,East,Brand C,Online Store,Credit Card,Paid,Teresa Keith
2020-12-13 13:20:28,62883795,34551,1,Email Promo,Sports Equipment,NC,West,Brand D,Online Store,Credit Card,Not Paid,Sarah Caldwell
2020-06-13 04:55:46,28605,37,1,Referral,Books,TX,East,Brand E,Mobile App,Cash,Not Paid,Stacey Gordon
2021-11-18 21:57:26,9068,736,2,Email Promo,Books,PA,East,Brand C,Phone,Credit Card,Paid,Cathy Haney
2021-06-25 21:05:02,969541388,78866708,2,Holiday Campaign,Furniture,MI,West,Brand C,Mobile App,PayPal,Not Paid,Jay Horton
2022-03-11 11:01:01,666382,1919,1,Summer Sale,Books,OH,West,Brand D,Mobile App,Credit Card,Paid,Peter Brown
2020-10-03 07:25:53,9906646,36624987,9,Holiday Campaign,Furniture,MI,West,Brand E,Online Store,PayPal,Not Paid,Elizabeth Jackson
2020-09-24 02:58:49,7456953,40740,1,Email Promo,Electronics,IL,West,Brand C,In-Store,PayPal,Not Paid,Kristie Dean
2020-10-11 02:47:48,13970598,7,4,Referral,Sports Equipment,PA,North,Brand A,Mobile App,Cash,Paid,Jessica Goodwin
2020-10-14 04:42:48,441869576,7810811,9,Summer Sale,Electronics,GA,East,Brand C,Online Store,Cash,Not Paid,David Cole
2022-04-20 03:20:19,387,3001,1,Referral,Books,IL,West,Brand D,Online Store,Credit Card,Paid,Richard Lewis
2022-08-29 23:46:53,2242,1,1,Email Promo,Books,MI,North,Brand D,Phone,PayPal,Paid,Seth Chavez
2021-11-21 21:01:42,97,5791,1,Summer Sale,Clothing,MI,West,Brand B,Online Store,PayPal,Not Paid,Kimberly Hernandez
2022-07-15 05:07:53,424579312,92140324,1,Summer Sale,Furniture,CA,South,Brand B,In-Store,PayPal,Paid,Paul Cooley
2021-03-09 08:19:13,4114,5,4,Email Promo,Furniture,CA,South,Brand E,Online Store,Cash,Not Paid,Chelsea Perry
2020-11-17 07:14:59,1489,778718,1,Holiday Campaign,Electronics,TX,North,Brand B,Online Store,Credit Card,Not Paid,Jeffrey Solis
2022-06-14 15:56:08,325,58237031,3,Summer Sale,Sports Equipment,NC,East,Brand E,Mobile App,Cash,Paid,Tammy Yang
2022-10-06 05:40:54,918,83547646,1,Referral,Furniture,CA,West,Brand D,Phone,Cash,Paid,Christian Butler
2020-03-28 03:16:54,88149041,2027496,1,Summer Sale,Electronics,FL,East,Brand D,In-Store,PayPal,Not Paid,George Wood
2023-03-05 01:47:18,4785,7980103,2,Holiday Campaign,Books,CA,East,Brand D,Phone,Cash,Paid,Paul Sandoval
2020-04-13 00:36:40,394286121,444888558,6,Holiday Campaign,Books,PA,West,Brand B,Mobile App,PayPal,Not Paid,Natalie Mendoza
2020-12-07 23:12:39,12241,467216,7,Summer Sale,Electronics,GA,North,Brand A,Online Store,Credit Card,Not Paid,Danielle Santiago
2022-01-15 15:51:09,976179,503,1,Email Promo,Electronics,CA,East,Brand D,In-Store,PayPal,Paid,Ashley Fletcher
2023-09-01 12:43:48,3288,4738647,3,Email Promo,Furniture,FL,North,Brand B,Phone,Cash,Not Paid,Denise Harrell
2023-10-26 02:09:18,55516,1346,1,Summer Sale,Books,NC,East,Brand A,In-Store,Credit Card,Not Paid,Gary Williams
2022-09-30 21:19:57,236004528,84,1,Summer Sale,Books,MI,West,Brand B,Phone,Credit Card,Paid,Ernest Tran
2021-08-29 11:00:24,586226,4931380,1,Holiday Campaign,Books,GA,South,Brand A,Mobile App,Cash,Paid,Nicole Lester
2022-06-25 03:12:08,905081785,125634,5,Holiday Campaign,Sports Equipment,PA,East,Brand C,Online Store,Credit Card,Paid,Alexander Pope
2023-06-01 05:23:15,8382,977538006,9,Referral,Electronics,FL,North,Brand E,Phone,Credit Card,Not Paid,Robert Brown
2020-07-01 22:25:36,5650118,448402,5,Holiday Campaign,Electronics,IL,West,Brand B,Phone,PayPal,Not Paid,Ryan Ramirez
2020-05-16 02:19:00,6517,9658056,10,Holiday Campaign,Clothing,IL,West,Brand E,Online Store,Cash,Not Paid,Sarah Ford
2021-08-01 05:33:58,68317,3,1,Referral,Clothing,PA,East,Brand B,Phone,PayPal,Not Paid,Michele Osborn
2021-10-04 11:44:40,64607347,733469869,8,Email Promo,Books,CA,East,Brand A,Phone,Credit Card,Not Paid,Henry Ramirez
2022-03-08 20:39:20,4,404629,10,Holiday Campaign,Sports Equipment,OH,West,Brand B,Mobile App,PayPal,Not Paid,Melissa Johnson
2020-05-13 09:53:32,94,257225890,1,Email Promo,Clothing,IL,North,Brand C,Phone,PayPal,Not Paid,Kristin Frey
